Type,Pos,Width,Rotate,Attr
valve7,593.0114221798008_460.01142217980083,13.738577820199225,0,undefined
valve7,590.2206160668773_497.1792364829437,14.029383933122745,0,undefined
valve7,591.8697701155663_515.4333175541135,13.738577820199225,0,undefined
valve7,592.977782607448_534.6664746046015,13.738577820199225,0,undefined
valve9,547.7327843388624_439.8761079277653,16.448015485698484,270,undefined
valve9,534.63359040409_459.92999241153916,15.11640959591,0,undefined
valve2,526.8242279961448_373.66100719864613,12.74656568226631,90,undefined
valve11,570.9129135365845_371.4129135365845,7.337086463415517,0,undefined
capacitor,550.4319081640828_496.0896202990672,3.818091835917244,0,undefined
capacitor,550.7544674828351_513.1816597867794,3.8180918359172447,0,undefined
